id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_pupuk,volume,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,UREA,13997.76,TON,2021
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,ZA,611.57,TON,2021
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,NPK,9248.44,TON,2021
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,UREA,30280.38,TON,2021
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ZA,784.26,TON,2021
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NPK,28340.22,TON,2021
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,UREA,32421.99,TON,2021
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ZA,2430.43,TON,2021
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NPK,24773.41,TON,2021
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,UREA,21076.22,TON,2021
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ZA,3862.27,TON,2021
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NPK,11250.1,TON,2021
13,32,JAWA BARAT,3205,KABUPATEN GARUT,UREA,54649.96,TON,2021
14,32,JAWA BARAT,3205,KABUPATEN GARUT,ZA,14538.78,TON,2021
15,32,JAWA BARAT,3205,KABUPATEN GARUT,NPK,45548.42,TON,2021
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,UREA,38945.75,TON,2021
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ZA,1206.54,TON,2021
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NPK,25833.23,TON,2021
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,UREA,10466.3,TON,2021
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ZA,87.61,TON,2021
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NPK,12175.59,TON,2021
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,UREA,13926.27,TON,2021
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ZA,894.26,TON,2021
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NPK,6289.87,TON,2021
